#n07vel,z/h
6.21829,0.00374
6.54473,0.00687
6.91836,0.01105
7.2566,0.0131
7.65775,0.02156
7.9999,0.02896
8.25944,0.0396
8.5701,0.05451
8.77457,0.06837
9.01833,0.094
9.18735,0.12072
9.32882,0.14959
9.42705,0.17633
9.51739,0.20629
9.59592,0.2416
9.67833,0.28868
9.74108,0.33256
9.79987,0.38608
9.84686,0.43853
9.8781,0.49527
9.89358,0.56165
9.89726,0.62588
9.89306,0.69227
9.90463,0.75008
9.93587,0.80789
9.9868,0.86034
10.04564,0.89886
10.09269,0.9374
10.13581,0.97379
10.1239,1.0027
10.06875,1.02413
9.99393,1.04663
9.95452,1.06591
9.98581,1.11194
10.00135,1.16119
9.99724,1.20509
9.99313,1.25113
9.99296,1.29395
